fecha,PRECIP_mm,EVAP_mm,TMAX_c,TMIN_c,almacenamiento_hm3
04/05/1992,0,4.7,29,16.5,2914.2
05/05/1992,0,5.6,28.5,15.5,2904.8
06/05/1992,0,5.016666666666667,29.5,14,2904.8
07/05/1992,26.1,5.2,25,15,2895.4
08/05/1992,1.1,4.2,21.5,13.1,2886
09/05/1992,0,4.7,24.5,13.1,2886
10/05/1992,3.4,2.2,22,13.5,2876.6
11/05/1992,0,4.2,26.5,14.5,2876.6
12/05/1992,0,4.3,26,15.5,2876.6
13/05/1992,0.2,3.6,25.5,17,2867.2
14/05/1992,0,4.9,29,16,2867.2
15/05/1992,0,5.3,31,15,2867.2
16/05/1992,0,5.4,30,16,2857.8
17/05/1992,0,5.7,30.5,15.5,2857.8
18/05/1992,0,6,31.5,16,2848.4
19/05/1992,0,4.5,29,16.5,2848.4
20/05/1992,0,0.9,29.5,13.5,2839
21/05/1992,1.5,4.5,29,14.5,2839
22/05/1992,0,2.9,31,15,2829.6
23/05/1992,0,5.5,30,16,2829.6
24/05/1992,0,5.1,31.5,16,2820.2
25/05/1992,0,4.6,29.5,16,2820.2
26/05/1992,3.6,5.4,30.6,16,2810.8
27/05/1992,0,3.5,28,15,2810.8
28/05/1992,0,4.7,30,16,2810.8
29/05/1992,0,3.5,23,16,2801.4
30/05/1992,0,5.7,27.5,18,2801.4
31/05/1992,0,5.3,30.5,13.1,2801.4
01/06/1992,6,2.9,30,17,2801.4
02/06/1992,51.9,3.8,26,16.5,2801.4
03/06/1992,18,1.8,22,16,2810.8
04/06/1992,0,4.3,28,16,2820.2
05/06/1992,0.7,4.3,28.5,17,2829.6
06/06/1992,0,5.1,31,17.5,2829.6
07/06/1992,0,5.8,32,17.5,2829.6
08/06/1992,2,4.5,31,18,2839
09/06/1992,0,6.6,31,17,2848.4
10/06/1992,41.8,6.7,27,17,2848.4
11/06/1992,0,4.7,29.5,15.5,2857.8
12/06/1992,0,4.8,32,17,2867.2
13/06/1992,0,4.5,32,17,2867.2
14/06/1992,0,5,32,17,2876.6
15/06/1992,0,5.4,32,18.5,2876.6
16/06/1992,0,5.1,31.5,19,2886
17/06/1992,0,5.8,29,19,2886
18/06/1992,0,6.2,31.5,18,2895.4
19/06/1992,0,5.8,32,18,2895.4
20/06/1992,0,5.7,32,19,2895.4
21/06/1992,0,6.5,32,19,2895.4
22/06/1992,0,7.1,31.5,17,2895.4
23/06/1992,0,5.6,32,16.5,2886
24/06/1992,0,5.6,33.1,17,2886
25/06/1992,1.2,4.3,32,19,2876.6
26/06/1992,0,5.9,32,18,2876.6
27/06/1992,0,5.8,32.5,19,2867.2
28/06/1992,0,5.4,32.5,19,2867.2
29/06/1992,0,5.6,33.1,19,2857.8
30/06/1992,2.5,5.9,31,19,2848.4
01/07/1992,0.8,3.4,30,17,2848.4
02/07/1992,10.3,1.3,31.5,17,2848.4
03/07/1992,0,6.1,30,16.5,2848.4
04/07/1992,6.7,5,30,17,2857.8
05/07/1992,0.9,1.9,29,18,2867.2
06/07/1992,2.2,5.6,30,17,2876.6
07/07/1992,0.5,4.6,28.5,16.5,2876.6
08/07/1992,3.6,3.4,28,15.5,2876.6
09/07/1992,3.3,4.3,28,16,2876.6
10/07/1992,0,5,27.5,16,2876.6
11/07/1992,24.5,3.8,28.5,17,2886
12/07/1992,0,5.5,28,14,2886
13/07/1992,111.7,4.8,29,15,2895.4
14/07/1992,0.8,2.6,27,15,2904.8
15/07/1992,1.3,3.1,28,16,2923.6
16/07/1992,19,1.4,20.5,16,2933
17/07/1992,2.3,3.9,27.5,16.5,2942.4
18/07/1992,20.9,5.9,28,16.5,2951.8
19/07/1992,0,3.3,28,15,2961.2
20/07/1992,0,5.2,30,15.5,2970.6
21/07/1992,41.5,5.3,30,15.5,2980
22/07/1992,0.2,2.6,27,16,2989.5
23/07/1992,0,3.5,27.5,16,2989.5
24/07/1992,10.6,3.2,26,16,2989.5
25/07/1992,21.6,6.4,27,15.5,2989.5
26/07/1992,6.2,4.5,28,14,2999
27/07/1992,0,3.9,26,15,2999
28/07/1992,0,3.4,27,15.5,2999
29/07/1992,23,6,28.5,16,3008.5
30/07/1992,13.5,3.7,27,15,3018
31/07/1992,0.01,2.5,22.5,15,3027.5
01/08/1992,0,3.6,25.5,14.5,3027.5
02/08/1992,0,2.7,27,14.5,3037
03/08/1992,47.7,6,28,15,3037
04/08/1992,0,2.6,26,15,3046.5
05/08/1992,2.4,2.1,25,15,3075
06/08/1992,0,4,26,15.5,3094.6
